date,symbol,prev_close,pm_price,gap_pct,pm_volume,float_shares,captured_at,phase
2026-04-12,ZNTL,4.42,6.61,49.55,46116463,48670653,2026-04-12T16:49:01-04:00,pre_open
2026-04-12,OGN,6.91,8.83,27.79,38055722,258709502,2026-04-12T16:49:01-04:00,pre_open
2026-04-12,SIDU,3.34,4.25,27.25,48259136,35153372,2026-04-12T16:49:01-04:00,pre_open
2026-04-12,LWLG,8.44,10.6,25.59,13576594,146459526,2026-04-12T16:49:01-04:00,pre_open
2026-04-12,SPIR,17.92,21.56,20.31,6064844,28343095,2026-04-12T16:49:01-04:00,pre_open
2026-04-13,ALLO,2.72,4.0049,47.24,48233982,162195742,2026-04-13T10:28:50-04:00,pre_open
2026-04-13,RVMD,96.315,129.655,34.46,6264152,172247017,2026-04-13T10:28:50-04:00,pre_open
2026-04-13,SYRE,51.3311,64.34,25.44,2302993,52572996,2026-04-13T10:28:50-04:00,pre_open
2026-04-13,IDYA,30.6,36.6,20,4311449,86961353,2026-04-13T10:28:50-04:00,pre_open
2026-04-13,ALLO,2.72,3.775,38.79,53000400,162195742,2026-04-13T10:57:52-04:00,pre_open
2026-04-13,RVMD,96.43,131.745,36.62,7589627,172247017,2026-04-13T10:57:52-04:00,pre_open
2026-04-13,SYRE,51.29,63.3,23.42,2613525,52572996,2026-04-13T10:57:52-04:00,pre_open
2026-04-13,ALLO,2.7101,3.7701,38.61,53045019,162195742,2026-04-13T10:58:20-04:00,pre_open
2026-04-13,RVMD,96.42,131.74,36.62,7591603,172247017,2026-04-13T10:58:20-04:00,pre_open
2026-04-13,SYRE,51.29,63.0771,22.98,2614040,52572996,2026-04-13T10:58:20-04:00,pre_open
